,match_id,innings1_team,innings2_team,innings1_score,innings2_score,winner
0,1216492,MI,CSK,162,166,CSK
1,1216493,DC,KXIP,157,160,KXIP
2,1216534,RCB,SRH,162,152,RCB
3,1216496,RR,CSK,215,200,RR
4,1216508,MI,KKR,194,146,MI
5,1216510,KXIP,RCB,204,109,KXIP
6,1216539,DC,CSK,175,131,DC
7,1216545,SRH,KKR,141,145,KKR
8,1216527,KXIP,RR,222,226,RR
9,1216547,RCB,MI,208,212,MI
10,1216532,SRH,DC,162,147,SRH
11,1216504,KKR,RR,174,137,KKR
12,1216503,MI,KXIP,191,143,MI
13,1216516,SRH,CSK,164,157,SRH
14,1216514,RR,RCB,154,158,RCB
15,1216515,DC,KKR,228,210,DC
16,1216538,MI,SRH,208,174,MI
17,1216513,KXIP,CSK,178,181,CSK
18,1216519,DC,RCB,196,137,DC
19,1216511,MI,RR,189,136,MI
20,1216501,KKR,CSK,166,157,KKR
21,1216542,SRH,KXIP,201,131,SRH
22,1216500,DC,RR,180,137,DC
23,1216523,KKR,KXIP,162,162,KXIP
24,1216525,RCB,CSK,169,132,RCB
25,1216507,SRH,RR,157,162,RR
26,1216529,DC,MI,161,166,MI
27,1216540,RCB,KKR,194,112,RCB
28,1216528,CSK,SRH,167,147,CSK
29,1216543,DC,RR,161,148,DC
30,1216531,RCB,KXIP,171,177,KXIP
31,1216526,KKR,MI,148,149,MI
32,1216522,RR,RCB,177,179,RCB
33,1216509,CSK,DC,179,185,DC
34,1216512,KKR,SRH,165,165,SRH
35,1216517,MI,KXIP,191,194,KXIP
36,1216533,CSK,RR,124,126,RR
37,1216546,DC,KXIP,164,167,KXIP
38,1216494,KKR,RCB,83,85,RCB
39,1216518,RR,SRH,154,156,SRH
40,1216521,CSK,MI,114,116,MI
41,1216497,KKR,DC,194,134,KKR
42,1216498,KXIP,SRH,252,228,KXIP
43,1216544,RCB,CSK,145,150,CSK
44,1216541,MI,RR,195,196,RR
45,1216520,KKR,KXIP,149,150,KXIP
46,1216524,SRH,DC,219,131,SRH
47,1216499,RCB,MI,164,166,MI
48,1216536,KKR,CSK,172,178,CSK
49,1216537,KXIP,RR,185,186,RR
50,1216535,DC,MI,110,111,MI
51,1216502,RCB,SRH,120,121,SRH
52,1216506,KXIP,CSK,153,154,CSK
53,1216530,KKR,RR,191,131,KKR
54,1216505,RCB,DC,151,154,DC
55,1216495,MI,SRH,149,151,SRH
56,1237177,MI,DC,200,143,MI
57,1237178,RCB,SRH,131,132,SRH
58,1237180,DC,SRH,189,172,DC
59,1237181,DC,MI,155,157,MI
